Fri Sep 29 14:46:59 2017    source.processcard_profile.txt

         6221 function calls (6126 primitive calls) in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        7    0.000    0.000    0.000    0.000 argparse.py:765(__init__)
       28    0.000    0.000    0.000    0.000 argparse.py:625(_get_help_string)
        8    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        5    0.000    0.000    0.000    0.000 locale.py:365(normalize)
        7    0.000    0.000    0.000    0.000 argparse.py:1435(_pop_action_class)
       10    0.000    0.000    0.000    0.000 {_sre.compile}
       20    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       46    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:636(_fill_text)
       10    0.000    0.000    0.000    0.000 argparse.py:199(__init__)
       14    0.000    0.000    0.000    0.000 argparse.py:1238(_registry_get)
       28    0.000    0.000    0.000    0.000 {vars}
        3    0.000    0.000    0.000    0.000 argparse.py:807(__init__)
       14    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
       14    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       34    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       10    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
       20    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
        1    0.000    0.000    0.000    0.000 argparse.py:865(__init__)
       11    0.000    0.000    0.000    0.000 argparse.py:230(_add_item)
        2    0.000    0.000    0.000    0.000 argparse.py:236(start_section)
        6    0.000    0.000    0.000    0.000 sre_parse.py:75(opengroup)
       13    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:86(closegroup)
        7    0.000    0.000    0.000    0.000 argparse.py:1448(_check_conflict)
        6    0.000    0.000    0.000    0.000 argparse.py:192(_dedent)
        1    0.000    0.000    0.000    0.000 argparse.py:2156(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 argparse.py:962(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:842(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1439(_get_handler)
        1    0.000    0.000    0.000    0.000 argparse.py:2200(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:983(__init__)
       12    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
       33    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:242(end_section)
        1    0.000    0.000    0.000    0.000 argparse.py:1002(__init__)
        2    0.000    0.000    0.000    0.000 {sorted}
        4    0.000    0.000    0.000    0.000 argparse.py:246(add_text)
       15    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       13    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:250(add_usage)
        3    0.000    0.000    0.000    0.000 argparse.py:2055(_parse_optional)
        2    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.000    0.000 argparse.py:188(_indent)
        1    0.000    0.000    0.000    0.000 argparse.py:1384(_get_positional_kwargs)
       30    0.000    0.000    0.000    0.000 {ord}
       27    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2359(exit)
        1    0.000    0.000    0.000    0.000 {__import__}
       13    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 argparse.py:1160(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1692(_get_positional_actions)
       10    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:140(__delitem__)
        3    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 {sys.exit}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:217(tell)


